Country Name,Country Code,Time,Time Code,Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC]
India,IND,2004,YR2004,535999198920632.00,64.40,909665603637695.00,618110787146406.00,144825005007376.00,497240246052468.00
India,IND,2005,YR2005,56767529101516.00,669324493408203.00,91537223815918.00,587751946572999.00,166190180757235.00,485753087512264.00
India,IND,2006,YR2006,55.70,67.90,93.10,566184904777442.00,175404247180092.00,474437217093748.00
India,IND,2007,YR2007,602947015578398.00,699880218505859.00,927073287963867.00,550764929853643.00,178640856862195.00,458678035195348.00
India,IND,2008,YR2008,621101038287165.00,715473175048828.00,933116302490235.00,556214240997603.00,165098337370558.00,436328830116274.00
India,IND,2009,YR2009,66.00,75.00,96.10,564671193201939.00,156600552489802.00,407708275885812.00
India,IND,2010,YR2010,65.70,76.30,94.00,535317924225662.00,160437444354595.00,394815087312075.00
India,IND,2011,YR2011,55.80,67.60,92.90,523298571103505.00,17316962856526.00,389317402139462.00
India,IND,2012,YR2012,72.70,79.90,96.10,519964331645046.00,15732973360913.00,383908901522843.00
India,IND,2013,YR2013,716550475706534.00,795991134643555.00,964849090576172.00,498862544005017.00,173493138262499.00,378498411784972.00
India,IND,2014,YR2014,736316231707346.00,812395095825195.00,971374206542969.00,496014949895526.00,162538398153488.00,36651837856374.00
India,IND,2015,YR2015,83.20,88.00,97.50,473091044855314.00,153430503454798.00,360212225652817.00
India,IND,2016,YR2016,776286901645437.00,845268173217773.00,984463119506836.00,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,,
