Land,2019,2020,2021
China,204.7,0,0
USA,75.9,0,0
Japan,63,0,0
Deutschland,49.2,0,0
Indien,42.8,0,0
Italien,20.8,0,0
Australien,14.6,0,0
Großbritannien,13.3,0,0
Korea,11.2,0,0
Frankreich,9.9,0,0
