Land,2018,2019,2020
China,210.25,236.40,0
USA,96.52,105.57,0
Deutschland,59.31,61.4,0
Indien,35.13,37.51,0
Großbritannien,20.96,23.34,0
Frankreich,15.31,16.64,0
Brasilien,14.71,15.45,0
Kanada,12.82,13.41,0
Schweden,7.22,8.8,0
Sonstige,118.22,132.12,0
