Land,2007,2008,2009
Deutschland,4.195,6.153,9.959
Spanien,0.705,3.463,3.523
Japan,1.919,2.144,2.627
USA,0.831,1.169,1.616
Italien,0.120,0.458,1.181
Belgien,0.024,0.108,0.649
Südkorea,0.087,0.363,0.530
Frankreich,0.075,0.179,0.369
China,0.100,0.140,0.300
Australien,0.083,0.105,0.188
Portugal,0.015,0.056,0.099
Kanada,0.026,0.033,0.095
Schweiz,0.036,0.048,0.074
Niederlande,0.049,0.053,0.064
Österreich,0.029,0.032,0.053
Thailand,0.033,0.033,0.043
Großbritannien,0.018,0.024,0.031
Mexiko,0.021,0.022,0.025
Israel,0.002,0.003,0.024
Schweden,0.006,0.008,0.009
Norwegen,0.008,0.008,0.009
Türkei,0.003,0.004,0.005
Dänemark,0.003,0.003,0.005
Malaysia,0.001,0.001,0.001
Andere,1.114,1.391,1.523
