Date,CL=F,HO=F,NG=F,RB=F
2000-11-01,33.20000076293945,0.9409000277519226,4.685999870300293,0.8840000033378601
2000-11-02,32.540000915527344,0.9318000078201294,4.760000228881836,0.8687999844551086
2000-11-03,32.599998474121094,0.9217000007629395,4.909999847412109,0.8694999814033508
2000-11-06,32.86000061035156,0.9168999791145325,4.848999977111816,0.8824999928474426
2000-11-07,33.400001525878906,0.9492999911308289,5.079999923706055,0.890999972820282
2000-11-08,33.290000915527344,0.9592999815940857,5.340000152587891,0.8741999864578247
2000-11-09,33.95000076293945,1.0199999809265137,5.445000171661377,0.8766000270843506
2000-11-10,34.09000015258789,1.0075000524520874,5.460000038146973,0.871999979019165
2000-11-13,34.43000030517578,1.0162999629974365,5.690000057220459,0.8849999904632568
2000-11-14,34.849998474121094,1.0541000366210938,6.019999980926514,0.892300009727478
2000-11-15,35.599998474121094,1.0771000385284424,6.239999771118164,0.9229999780654907
2000-11-16,35.04999923706055,1.055999994277954,5.789999961853027,0.9229999780654907
2000-11-17,35.599998474121094,1.0787999629974365,6.119999885559082,0.9169999957084656
2000-11-20,35.220001220703125,1.100000023841858,6.239999771118164,0.919700026512146
2000-11-21,35.150001525878906,1.0959999561309814,6.409999847412109,0.9160000085830688
2000-11-22,35.400001525878906,1.0944000482559204,6.577000141143799,0.9200999736785889
2000-11-27,35.380001068115234,1.0820000171661377,6.380000114440918,0.906000018119812
2000-11-28,34.25,1.0240000486373901,6.070000171661377,0.8794999718666077
2000-11-29,34.630001068115234,1.0325000286102295,6.179999828338623,0.9100000262260437
2000-11-30,33.79999923706055,1.0499999523162842,6.579999923706055,0.8799999952316284
2000-12-01,32.04999923706055,0.9710000157356262,6.675000190734863,0.8220000267028809
2000-12-04,31.299999237060547,1.0083999633789062,7.449999809265137,0.8025000095367432
2000-12-05,29.549999237060547,0.9764999747276306,7.409999847412109,0.762499988079071
2000-12-06,29.850000381469727,1.0121999979019165,8.449999809265137,0.7829999923706055
2000-12-07,29.360000610351562,0.992900013923645,8.399999618530273,0.766700029373169
2000-12-08,28.5,0.9447000026702881,8.585000038146973,0.7379999756813049
2000-12-11,29.450000762939453,0.9829999804496765,9.420000076293945,0.7645000219345093
2000-12-12,29.690000534057617,0.9614999890327454,8.199999809265137,0.7639999985694885
2000-12-13,28.5,0.9100000262260437,7.599999904632568,0.7544999718666077
2000-12-14,27.899999618530273,0.8884999752044678,7.413000106811523,0.7450000047683716
2000-12-15,28.850000381469727,0.9179999828338623,8.399999618530273,0.7590000033378601
2000-12-18,29.649999618530273,0.925000011920929,8.527000427246094,0.7760000228881836
2000-12-19,28.799999237060547,0.9136999845504761,9.10200023651123,0.7699999809265137
2000-12-20,25.670000076293945,0.8560000061988831,9.359999656677246,0.7300000190734863
2000-12-21,26.049999237060547,0.8550000190734863,9.850000381469727,0.7409999966621399
2000-12-22,26.18000030517578,0.878000020980835,9.579000473022461,0.7408999800682068
2000-12-26,26.649999618530273,0.9340000152587891,9.800000190734863,0.7599999904632568
2000-12-27,26.450000762939453,0.9370999932289124,10.039999961853027,0.753000020980835
2000-12-28,25.850000381469727,0.8949999809265137,9.262999534606934,0.75
2000-12-29,26.799999237060547,0.9065999984741211,9.774999618530273,0.7857999801635742
2001-01-02,27.200000762939453,0.8658000230789185,8.36400032043457,0.7950000166893005
2001-01-03,27.950000762939453,0.8597999811172485,8.220000267028809,0.8100000023841858
2001-01-04,28.200000762939453,0.8611999750137329,9.0,0.8185999989509583
2001-01-05,28.0,0.862500011920929,9.25,0.8205000162124634
2001-01-08,27.350000381469727,0.8259999752044678,9.699999809265137,0.8349999785423279
2001-01-09,27.719999313354492,0.8062000274658203,9.800000190734863,0.8289999961853027
2001-01-10,29.5,0.8499000072479248,9.180000305175781,0.8849999904632568
2001-01-11,29.5,0.8399999737739563,8.710000038146973,0.8884999752044678
2001-01-12,30.049999237060547,0.8421000242233276,8.472000122070312,0.9007999897003174
2001-01-16,30.350000381469727,0.8407999873161316,8.102999687194824,0.8790000081062317
2001-01-17,29.649999618530273,0.8149999976158142,6.908999919891357,0.8579000234603882
2001-01-18,30.450000762939453,0.8414999842643738,7.136000156402588,0.8579999804496765
2001-01-19,32.099998474121094,0.8797000050544739,7.480000019073486,0.8849999904632568
2001-01-22,32.0,0.8790000081062317,7.456999778747559,0.8759999871253967
2001-01-23,29.56999969482422,0.8622000217437744,6.946000099182129,0.8759999871253967
2001-01-24,29.049999237060547,0.8222000002861023,7.119999885559082,0.8740000128746033
2001-01-25,29.360000610351562,0.8300999999046326,7.269999980926514,0.8790000081062317
2001-01-26,29.780000686645508,0.8456000089645386,7.28000020980835,0.8849999904632568
2001-01-29,29.059999465942383,0.8119999766349792,6.619999885559082,0.8769999742507935
2001-01-30,29.059999465942383,0.8003000020980835,6.0970001220703125,0.8799999952316284
2001-01-31,28.700000762939453,0.7950000166893005,5.650000095367432,0.8600000143051147
2001-02-01,29.799999237060547,0.7784000039100647,6.400000095367432,0.8500999808311462
2001-02-02,31.25,0.8220000267028809,6.743000030517578,0.890999972820282
2001-02-05,30.5,0.8111000061035156,5.705999851226807,0.8858000040054321
2001-02-06,30.350000381469727,0.8091999888420105,5.763999938964844,0.8870000243186951
2001-02-07,31.200000762939453,0.828000009059906,6.25,0.9225000143051147
2001-02-08,31.559999465942383,0.8417999744415283,6.170000076293945,0.9290000200271606
2001-02-09,31.049999237060547,0.8223999738693237,6.210000038146973,0.901199996471405
2001-02-12,30.549999237060547,0.8014000058174133,5.809999942779541,0.8920000195503235
