Spain,1.7539468,0.9336308,0.7924516,1.0010474,0.824456,0.9,1.141,2.15,1.529,1.18,1.77,1.505,1.849,2.436,3.312,2.844,3.17,3.633,3.173,3.054,5.604,4.542,4.026,3.394,3.298066176,3.689419118,3.189160102,4.50701,5.058355045,4.487040945,4.212167334,4.42951742,3.376489873,2.859583184,2.142500474,-0.250764767,-0.016987388,0.009170239
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0.0717,0.0542,0.0459,0.0437,0.0369,0.028,0.0884,0.09615,0.118787409,0.079605,0.088449,0.124596,0.126359,0.128768,0.292583,0.350059,0.517137,0.73687,0.8482,0.973385,1.125330363,0.156099964,0.284500951,0.004816591
Ukraine,0,0,0,0,0,0.209,0.216,0.207,0.198,0.209,0.197,0.201,0.176,0.176,0.176,0.176,0.169,0.162,0.152,0.135,0.142,0.148,0.116,0,0,0.001,0.00167,0.51417,0.66789,0.83983,2.04268,1.708,1.63058972,0.664360613,1.878803291,1.827987173,0,0.008041573
United Kingdom,4.672789899,2.883689899,1.9632,3.938389899,3.7447,2.156,1.7014,1.889,1.6029,1.8603,5.5324,1.96744,1.74306,5.614556505,7.773023173,7.540291196,6.518608778,6.91325765,6.894945914,6.283078359,7.180942361,7.863095299,7.32667966,7.218424884,6.881050465,5.695231624,5.728990474,6.367172995,6.295967602,6.774625501,7.375851432,8.536864023,8.037364522,7.835360654,7.811566787,-0.003036729,0.008234734,0.033434733
Other Europe,11.47481881,11.65443216,11.14536998,12.1900424,12.81347588,10.87037067,11.44195874,12.03453809,10.65995448,10.80145097,12.04440882,13.52353993,14.73354617,15.71456133,15.39897585,18.72688157,17.9349279,20.34325197,21.73995085,22.24573155,22.49380406,23.3319662,24.25278968,24.60732492,25.86527388,26.50667692,27.92401156,28.68191242,29.07197781,29.52753279,30.35941561,31.08304726,32.42363014,35.24165239,27.89095241,-0.20857989,0.036571314,0.119377657
Total Europe,40.30392617,37.9342115,35.69007229,41.00263709,43.87010599,41.47245148,37.82547995,40.0023189,38.3980161,38.3112238,45.54317245,43.86631326,46.15360617,57.46123283,61.79775902,65.39683977,64.58682568,64.68099362,69.15573776,70.21186591,76.51334542,76.5101905,77.10266575,74.2727978,69.56855853,75.55521166,74.22283813,78.51951941,79.13472146,80.38448124,83.76067706,87.5583577,86.36831126,87.14752143,77.23333533,-0.11376326,0.016114212,0.330570807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0,0,0,0,0,0,-0.0007974,-0.0026718,-0.0011156,-0.0043256,-0.0048504,-0.0036348,0.0019374,-0.0024534,0.0021272,0,0,0,0,0,0,0,0,0,0,0,0,-2.1E-05,-0.0007874,0,0,0,0,-4.718553451,-2.079568498,-0.559278385,0,-0.00890088
Russian Federation,0,0,0,0,0,0,0,1.816095573,2.60668593,2.609513559,2.548759493,2.541433877,2.459746787,2.464245121,2.924003633,3.814,4.795999016,4.757206914,3.724269033,3.726511016,4.528461658,4.610272362,3.92687794,4.466598204,4.549426104,4.651825081,4.51746092,4.41357452,4.391426101,4.952703316,4.706362629,4.453919061,4.443744078,4.388536712,4.306316712,-0.018735174,-0.001761571,0.018431712
Other CIS,0.002097,0.002097,0.002097,0.002097,0.002097,-0.978634,0.0013444,0.0009666,-0.0017626,-0.000577,-0.0044612,-0.0025086,-0.013905,-0.0014842,-0.0032246,-6.34E-05,0.0015786,-0.0023146,0.0062988,0.018236299,0.0011104,0,0,0.005,0.0345,0.0037,0.01,0.0251,0.2709,0.3138,0.3131,0.26025,0.29505,0.2849,0.081100004,-0.715338702,0.498208458,0.000347121
Total CIS,0.002097,0.002097,0.002097,0.002097,0.002097,-0.978634,0.000547,1.814390373,2.60380773,2.604610959,2.539447893,2.535290477,2.447779187,2.460307521,2.922906233,3.8139366,4.797577616,4.754892314,3.730567833,3.744747315,4.529572058,4.610272362,3.92687794,4.471598204,4.583926104,4.655525081,4.52746092,4.43865352,4.661538701,5.266503316,5.019462629,4.714169061,4.738794078,-0.045116738,2.307848218,-52.15281594,0,0.009877953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0791,-0.758,0.103821494,-0.111677684,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
